Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
11004491-TT-R	0	0.05354385173919013	0.08941856563005054	0.007743555001603567	0.3934052879140831	0	0	0.04786219074553475	0	0.014901712634302077	0.1847880060646479	0.0037997094529325045	0.0016479633066793767	0	0	0	0	0	0.13887163793476573	0.05598765601618396	0	0.00802986356002631	0.44	0.18483105182456377	0.9993683040748923
12000021-TT-R	0	0.07558212677380156	0.06836435783298753	0.013031093681430291	0.4628376111690335	0	0	0.017662967774518756	0	0	0.19841478337662732	0	0.019092115093923147	0	0.003778854519705139	0.0028580592655903236	0	0	0.11189902946249407	0.011986353272781913	0	0.014492647777106465	0.49	0.163474861772765	1.0094401935444757
12000107-TT-R	0	0.09445358616982259	0.05843547456738192	0.005972810335871063	0.37572904400003404	0	0	0	0	0.0809849965852556	0.2236830919122876	0.008921977446169425	0.011232685486037132	0	0.008061382008010114	0	0	0	0.11576806053579071	0.002472633099436816	0	0.01428425785390293	0.33	0.2693585440936805	0.9653438907446098
12000111-TT-R	0	0.03148311982516746	0.0879685200254955	0.005227805995068403	0.4182096680633859	0	0	0.021864626879217197	0	0.028225561878953174	0.22260651785692934	0.021773114759721462	0	0	0	0	0	0	0.14285251585136127	0.006944730597508225	0	0.012843818267192079	0.42	0.20495337917885842	0.9924952593539019
12000477-TT-R	0	0.06834401649536974	0.024058637439854574	0.014833793334940813	0.4812316609768444	0.0033639341733183183	0	0	0.007443585296776551	0	0.2558698228867874	0.006663539156305645	0.018050486533916204	0	0	0	0.025032817604565685	0	0.08196538375249929	0.009045837965389528	0	0.0040964843834318905	0.29	0.2941153598686845	0.9583391720330462
12000755-TT-R	0	0.1132343866267172	0.06191789203789932	0.015068648292041747	0.4171872231820182	0	0	0.004799205328252594	0	0	0.17958227784265524	0.021858972132234773	0	0	0.007762924176996404	0	0	0	0.13032136780824233	0.03465449876547791	0	0.013612603807464319	0.49	0.16148812989883243	1.0125099405867388
12001290-TT-R	0	0.04649604017060974	0.07883767839405052	0.008989611959682826	0.4295861875994732	0	0	0	0	0.02494609958007253	0.2457556029710955	0	0.02865581369893062	0	0	0.0016264886362443644	0	0	0.08859956617085507	0.04650691081898565	0	0	0.45	0.17453848435252445	1.0036432722841933
12001311-TT-R	0	0.10175599777407308	0.08531215918901097	0.013061421695055165	0.3934629545478454	0	0	0.026759731725142667	0.011262588463014424	0	0.19997545769676864	0.0018254075086989617	0.015267522922205993	0	0	0.0015911422302694483	0	0	0.10455971350736272	0.03985944304679576	0	0.0053064596937567295	0.45	0.17324919551133422	1.0043232086422205
12001512-TT-R	0	0.06446886577902876	0.04517555561311878	0.023981390481971798	0.2936453587798091	0	0	0.11690610468261135	0	0.12762850957161137	0.12900725778762945	0	0.03503423531650175	0	0.007369327564344596	0.014800828962841456	0	0	0.1323548247983105	0.009627740662221105	0	0	0.68	0.044225242302054435	1.039033103941549
12002385-TT-R	0	0.09859632478589325	0.06347971582095853	0.027226759483135014	0.4125130885404953	0	0	0.020629441458300923	0.02175051775761152	0	0.17992674110859094	0.006189707271121803	0.001343469041603354	0	0.016762736645883416	0	0.005489932884803669	0	0.1135360120060756	0.010322959617688823	0	0.02223259357783791	0.54	0.1275878257896201	1.0201866558490071
