Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
11004126-TT-R	0.039680470429408	0	0.030249586561906433	0.11464327648571726	0	0.17584280429732935	0.006321174996849238	0.017607346254889963	0.052211237567650934	0	0.02721823650324534	0.0030396120425216877	0.0004	0.1387823586982134	0.05185916065145754	0.28875866042259857	0.014326842062021361	0	0.002626492484622564	0.024917897594312507	0.007168285783025349	0.004375097257554578	0.07	0.10656193724918889	1.0450844155090926
11004229-TT-R	0.05671631938667868	0	0.0243536365686961	0.15967290016442975	0	0.07969286320859342	0.0004	0.1018474458972749	0.027999405310598767	0	0	0.04294300865552196	0	0.093674249254541	0.17639285201071084	0.19234027575776538	0.0012020209584095369	0	0.0209493400595958	0.0081839212008206	0.0013702759830767038	0.012304012191567822	0.07	0.11588256588196626	1.0532883687217642
11004355-TT-R	0.05186739903923652	0	0.0435776169835768	0.041755505333231815	0.007913285720468117	0.07432586382331281	0.03333359080887451	0	0	0	0.009811761019696203	0.008849761147829845	0	0.04419614792897801	0.008797718049539074	0.19442795225042556	0.011149625444492923	0.014132876792297777	0	0.28853169735775325	0	0.16732919830028678	0.04	0.17636015346003647	1.0369662642238129
11004491-TT-R	0.013889690425676301	0.004482416259517553	0.019915840214483744	0.09659325347622263	0	0.07087000283797797	0.01972933718863845	0.03293686486255351	0.03535391929807049	0	0	0.015340090828914275	0	0.2499585468025308	0.061205921956471725	0.35763305602468803	0	0	0.006748834569393403	0.006489095032702624	0	0.008853130222158504	0.07	0.1061939477529	1.0630883975547711
12000021-TT-R	0.022304416491758006	0.0011884640839245626	0.03704926451882947	0.10686536584450079	0	0.22779949944375172	0	0.050748753770818146	0.04941479056690605	0	0	0.0847779200739934	0	0.14988375670332005	0.05875332167494104	0.16981257330121186	0.0010104818410359424	0	0.009438611745456824	0.0034608797115867488	0	0.027491900227965396	0.1	0.07610386846687825	1.0650731076849447
12000107-TT-R	0.02964770961766537	0.03474033189895572	0.010777732265186215	0.06958155650854848	0	0.19654643394413687	0.0006	0.01884942161868509	0	0	0.030236376580241905	0	0	0.17125860450509364	0.012432304013392818	0.20591151154357823	0	0.009862041871219286	0	0.04713474658556904	0.030206918318663206	0.13224748842850761	0.08	0.09841464575856214	1.0509978838536729
12000111-TT-R	0	0	0.030147067061272213	0.15143756020581917	0	0.17841640366104247	0.040273426277034556	0.06147410432250751	0.021598892463771106	0	0	0.015078071918259026	0	0.08808568007423914	0.05707647794788513	0.2750500784145988	0.005729704826097398	0	0	0.06691372503290127	0	0.00871880779457224	0.15	0.06690238630571536	1.0624857880826506
12000477-TT-R	0	0.0076322783593754445	0.011921113318726546	0.009103744003118251	0	0.1108726905283929	0	0.00753892574568267	0	0	0	0.04726237362864924	0.025163223718720235	0.1757132051265024	0.01880959664178375	0.12172796816310553	0	0	0	0.34996241103068726	0.053989124574081254	0.060303345161174526	0.03	0.219769920764646	1.0353716568371292
12000755-TT-R	0.02889245507848299	0	0.038078397387909475	0.15250812761997243	0	0.18803233339721728	0.033450503088359784	0.06265336394475152	0.010179333346076779	0	0.007562660706768148	0.04376982601445526	0.01649389788349089	0.022805906972031224	0.13302583352065783	0.1916009666755649	0.02169574212784565	0	0	0.04390402182956295	0.005346630406852874	0	0.08	0.09671383863624797	1.0553866272320527
12001290-TT-R	0.026151749532501913	0.02961215439350225	0.014285542945726353	0.03039353149462494	0	0.18461132062742652	0	0.01897947164731024	0.014725230004322427	0	0.0215792835513709	0	0	0.18734072127801638	0.037196161560753845	0.20122576156848657	0.011352362275872925	0	0	0.12528503698574617	0.052345801095642894	0.04491587103869564	0.07	0.13044173913315632	1.0355862462908065
12001311-TT-R	0.010150522551631567	0.013733552319506489	0.036453931428407284	0.044371365490951345	0	0.21916861907201793	0.009352057136185362	0.03736902301387231	0.004086687592273789	0	0.02924620022242044	0	0	0.1283053608709911	0.10758721356835199	0.17555640928132113	0	0.0013364262244817742	0	0.11888331841467151	0.02282691118013963	0.041572401632776326	0.07	0.10019169868291208	1.047042343114937
12001512-TT-R	0	0.0035307733570526787	0.05306264309734369	0.04641463260051152	0	0.1801928238018543	0	0.027202179332950164	0.04138133508401301	0	0.023404853867598926	0.007245256738858486	0	0.3729906410600415	0.06574776632792081	0.1368107807169058	0.026723279193535957	0	0	0.01352246299883989	0	0.0017705718225732663	0.07	0.12345908089024045	1.0577519547391734
12002385-TT-R	0.0002	0.056459629137225104	0.016705975484683052	0.07010549473307931	0	0.2033482519515061	0.0004	0.08178689011833888	0.06968158929350488	0	0	0.0038797878799175394	0	0.2000016706667919	0.046103827212937584	0.19962052794682142	0.006627248638619173	0	0	0.0450637802298963	0	0	0.08	0.09122057547957674	1.05673437615259
12002841-TT-R	0.09811863478552414	0	0.03606034568224458	0.07298648265065602	0	0.2001173858851971	0.006409762875885572	0.053872558007663225	0.07937536072634745	0	0	0.02481727897254751	0	0.04165896783291725	0.040290503486341736	0.11374344977396848	0.04029239096354174	0	0.04693133660034471	0	0	0.1453255417568205	0.04	0.16910613389310764	1.0173622167734695
12003310-TT-R	0.021826813325676268	0.011409200617851084	0.037697630437434466	0.05004128235221336	0	0.17844854254492723	0	0.010443856537575383	0.0008	0	0.010052627637022233	0.014306519925745506	0.02932976501008262	0.17561449806609578	0.060127132880372115	0.29032461150055683	0.002373266082330092	0	0.020712765274873562	0.015167949916390405	0.029259481428005007	0.04207207580514188	0.07	0.10099370767801974	1.0474767212672007
13002183-TT-R	0	0.03278608895201089	0.15827254634785162	0.04034044543293703	0	0.20423077644740267	0	0.022422380282395585	0.03534933701130072	0	0	0.004891797769922983	0	0.13713764595063002	0.08891541005647641	0.16203445837376312	0.014225953204888758	0	0	0.04181050115303346	0	0.05758265901738672	0.02	0.2681267791395919	0.9777512915436825
